Package,LibPath,Version,Priority,Built
s2,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.1.4,NA,4.3.0
sass,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,0.4.7,NA,4.3.0
scales,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.2.1,NA,4.3.1
scholar,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,0.2.4,NA,4.3.0
selectr,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,0.4-2,NA,4.3.1
sessioninfo,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.2.2,NA,4.3.0
sf,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.0-14,NA,4.3.0
sfheaders,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,0.4.3,NA,4.3.0
shiny,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.7.5,NA,4.3.0
smoothr,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.0.1,NA,4.3.0
snakecase,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,0.11.1,NA,4.3.0
sourcetools,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,0.1.7-1,NA,4.3.0
sp,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,2.0-0,NA,4.3.0
spatial,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,7.3-16,recommended,4.3.1
spelling,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,2.2.1,NA,4.3.0
splines,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,4.3.1,base,4.3.1
stars,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,0.6-3,NA,4.3.0
stats,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,4.3.1,base,4.3.1
stats4,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,4.3.1,base,4.3.1
stringi,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.7.12,NA,4.3.0
stringr,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.5.0,NA,4.3.0
styler,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.10.2,NA,4.3.0
survival,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,3.5-5,recommended,4.3.1
sys,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,3.4.2,NA,4.3.1
systemfonts,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.0.4,NA,4.3.0
tcltk,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,4.3.1,base,4.3.1
testthat,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,3.1.10,NA,4.3.0
textshaping,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,0.3.6,NA,4.3.0
tibble,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,3.2.1,NA,4.3.1
tidygraph,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.2.3,NA,4.3.0
tidyr,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.3.0,NA,4.3.1
tidyselect,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.2.0,NA,4.3.1
timechange,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,0.2.0,NA,4.3.0
tinytex,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,0.46,NA,4.3.0
tools,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,4.3.1,base,4.3.1
tweenr,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,2.0.2,NA,4.3.1
tzdb,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,0.4.0,NA,4.3.0
units,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,0.8-3,NA,4.3.0
urlchecker,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.0.1,NA,4.3.0
usethis,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,2.2.2,NA,4.3.0
utf8,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.2.3,NA,4.3.1
utils,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,4.3.1,base,4.3.1
uuid,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.1-1,NA,4.3.0
V8,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,4.3.3,NA,4.3.0
vctrs,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,0.6.3,NA,4.3.0
viridis,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,0.6.4,NA,4.3.1
viridisLite,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,0.4.2,NA,4.3.1
vroom,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.6.3,NA,4.3.0
waldo,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,0.5.1,NA,4.3.0
whisker,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,0.4.1,NA,4.3.0
whoami,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.3.0,NA,4.3.0
withr,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,2.5.0,NA,4.3.0
wk,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,0.8.0,NA,4.3.0
xfun,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,0.40,NA,4.3.0
xml2,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.3.5,NA,4.3.0
xmlparsedata,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.0.5,NA,4.3.0
xopen,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.0.0,NA,4.3.0
xtable,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.8-4,NA,4.3.0
yaml,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,2.3.7,NA,4.3.0
zip,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,2.3.0,NA,4.3.0
